rowID,HateSpeechExistence
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,0
491,1
492,1
493,0
494,1
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,1
514,0
515,0
516,1
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,0
593,0
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,1
612,1
613,1
614,0
615,1
616,0
617,0
618,0
619,0
620,1
621,1
622,1
623,0
624,0
625,0
626,1
627,0
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,0
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,0
690,1
691,1
692,0
693,1
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,1
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,0
768,1
769,0
770,1
771,1
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,1
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,1
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,0
810,0
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,0
819,1
820,0
821,1
822,0
823,1
824,0
825,0
826,0
827,1
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,0
842,1
843,1
844,1
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,0
858,1
859,1
860,0
861,1
862,0
863,1
864,0
865,0
866,0
867,1
868,0
869,1
870,0
871,1
872,1
873,0
874,0
875,0
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,1
884,0
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,1
907,0
908,0
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,1
931,1
932,0
933,0
934,0
935,1
936,1
937,0
938,1
939,1
940,1
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,1
949,1
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,0
958,1
959,1
960,0
961,1
962,1
963,0
964,0
965,1
966,0
967,0
968,1
969,0
970,0
971,1
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,0
980,1
981,0
982,0
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,0
996,0
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,0
1063,1
1064,0
1065,1
1066,1
1067,0
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,0
1117,0
1118,0
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,1
1129,1
1130,0
1131,1
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,0
1165,0
1166,1
1167,1
1168,1
1169,0
1170,1
